H,e,a,q,i,om,w,ma,ad,n,per,moid,albedo
13.43,0.0898,5.242,4.772,2.7,177.96,70.13,30.13,5.71,0.08211,4380,3.76,0.129443463
16.44,0.1004,3.103,2.792,4,303.24,134.93,247.67,3.41,0.1803,2000,1.81,0.145585777
25,0.4476,1.925,1.063,5.72,184.3,11.02,285.97,2.79,0.3691,975,0.0659,0.139023025
18.32,0.0823,2.666,2.447,3.03,189.58,122.1,101.77,2.89,0.2264,1590,1.44,0.133045433
17.31,0.1428,3.048,2.612,7.47,66.17,143.31,202.46,3.48,0.1853,1940,1.61,0.140836837
15.95,0.1169,2.658,2.347,12.42,147.46,351.39,44.63,2.97,0.2275,1580,1.36,0.152032846
17.7,0.252,2.422,1.812,2.37,15.38,318.16,202.42,3.03,0.2615,1380,0.803,0.147361638
18.27,0.1619,2.255,1.89,4.91,315.36,152.55,353.58,2.62,0.291,1240,0.908,0.152219588
16.48,0.1244,3.167,2.773,17.5,125.13,270.31,210.52,3.56,0.1749,2060,1.85,0.139377637
18.7,0.1757,2.314,1.908,6.68,32.89,78.01,83.74,2.72,0.28,1290,0.937,0.153242457
17.1,0.1612,2.526,2.119,3.39,130.5,217.95,123.94,2.93,0.2454,1470,1.11,0.139946149
18.6,0.1037,2.231,2,7.67,116.54,301.58,253.54,2.46,0.2957,1220,1.02,0.137377011
17.98,0.0331,2.657,2.569,5.74,116.74,198.66,341,2.74,0.2276,1580,1.56,0.145640602
17.79,0.1949,2.413,1.943,1.68,222.89,49.24,147.48,2.88,0.263,1370,0.928,0.124687056
16.13,0.1011,3.157,2.838,9.05,218.25,155.46,359.04,3.48,0.1757,2050,1.84,0.142339141
17.47,0.1214,3.086,2.711,4.63,326.71,102.88,345.93,3.46,0.1818,1980,1.73,0.144307568
17.9,0.0655,2.642,2.469,5.17,187.46,191.75,304.41,2.81,0.2295,1570,1.47,0.136250563
16.9,0.0371,3.088,2.974,1.5,153.66,60.9,355.47,3.2,0.1816,1980,1.97,0.152369578
17.6,0.3084,3.151,2.179,28.45,136.7,129.93,115.47,4.12,0.1762,2040,1.25,0.136476517
25.8,0.6732,1.666,0.545,9.29,352.7,104.37,334.02,2.79,0.4583,785,0.0179,0.143888709
15.9,0.0937,3.109,2.818,8.06,260.71,196.97,228.79,3.4,0.1798,2000,1.84,0.141730077
