pha,H,G,diameter,albedo,rot_per,BV,UB,spec_B,spec_T,e,a,q,i,om,w,ma,ad,n,per,per.y,moid,class,data_arc,condition_code
0,13.84,,,,6.3939,,,7,153,0.1978,2.306,1.85,2.35,170.4,52.49,267.64,2.76,0.2815,1280.0,3.5,0.843,8,29042.0,0
0,13.64,,,,3.4468,,,7,153,0.1371,2.242,1.935,5.04,204.08,232.54,173.69,2.55,0.2936,1230.0,3.36,0.954,8,18890.0,0
0,13.75,,,,,,,7,153,0.1828,2.411,1.971,5.28,43.75,279.7,204.15,2.85,0.2632,1370.0,3.74,0.968,8,25076.0,0
0,13.69,,,,5.227,,,7,153,0.2283,2.436,1.88,4.14,185.8,144.75,252.14,2.99,0.2592,1390.0,3.8,0.872,8,24422.0,0
0,13.46,,,,5.18,,,7,153,0.0266,1.936,1.884,19.01,300.75,281.3,341.52,1.99,0.3659,984.0,2.69,0.904,7,14770.0,0
0,14.12,,,,5.268,,,7,153,0.0462,1.979,1.887,28.56,154.9,208.64,95.94,2.07,0.3541,1020.0,2.78,0.888,7,15904.0,0
0,12.47,,,,9.84,,,7,153,0.0557,2.847,2.689,3.24,93.26,222.29,231.35,3.01,0.2051,1760.0,4.8,1.68,8,24156.0,0
0,12.09,,,,19.748,,,7,153,0.0434,2.924,2.797,2.4,44.72,146.13,316.48,3.05,0.1971,1830.0,5.0,1.8,8,24560.0,0
0,13.86,,,,,,,7,153,0.1383,2.421,2.086,5.99,304.87,119.12,43.98,2.76,0.2617,1380.0,3.77,1.11,8,15812.0,0
0,13.0,,,,,,,7,153,0.1726,3.099,2.564,2.48,102.64,305.53,280.38,3.63,0.1806,1990.0,5.46,1.58,8,17028.0,0
0,12.46,,,,8.31,,,3,153,0.1003,2.343,2.108,7.2,28.43,29.25,112.4,2.58,0.2748,1310.0,3.59,1.12,8,32732.0,0
0,12.1,,,,7.05,,,7,153,0.1734,3.145,2.599,2.37,72.24,4.18,219.41,3.69,0.1768,2040.0,5.58,1.61,8,19220.0,0
0,13.01,,,,,,,7,153,0.1108,3.0,2.668,9.95,358.11,0.31,134.17,3.33,0.1897,1900.0,5.2,1.66,8,24291.0,0
0,13.21,,,,7.569,,,4,153,0.2389,2.18,1.659,17.96,83.57,40.47,143.0,2.7,0.3062,1180.0,3.22,0.708,9,14524.0,0
0,14.57,,,,,,,7,153,0.2614,2.387,1.763,6.13,343.49,357.21,76.99,3.01,0.2672,1350.0,3.69,0.756,8,23026.0,0
0,11.41,,,,9.495,,,7,153,0.1058,3.014,2.696,9.58,204.06,180.21,207.49,3.33,0.1883,1910.0,5.23,1.7,8,41203.0,0
0,13.29,,,,5.3379,,,4,153,0.1963,2.206,1.773,7.55,44.99,297.04,262.25,2.64,0.3008,1200.0,3.28,0.782,8,15409.0,0
0,14.3,,,,4.047,,,7,153,0.329,2.15,1.443,27.69,146.91,327.02,261.78,2.86,0.3126,1150.0,3.15,0.495,9,14475.0,0
0,16.55,,,,,,,7,153,0.396,2.101,1.269,25.08,158.81,159.13,340.95,2.93,0.3236,1110.0,3.05,0.277,0,14084.0,0
